Total Sales,Year,Percent Change,Earliest Date
$11380,1980,,1980-01-01 00:00:00
$35680,1981,213.53%,1981-01-01 00:00:00
$28880,1982,-19.06%,1982-01-01 00:00:00
$16800,1983,-41.83%,1983-01-01 00:00:00
$50350,1984,199.70%,1984-01-01 00:00:00
$53950,1985,7.15%,1985-01-01 00:00:00
$37080,1986,-31.27%,1986-01-01 00:00:00
$21700,1987,-41.48%,1987-01-01 00:00:00
$47210,1988,117.56%,1988-01-01 00:00:00
$73450,1989,55.58%,1989-01-01 00:00:00
$49370,1990,-32.78%,1990-01-01 00:00:00
$32490,1991,-34.19%,1991-01-01 00:00:00
$76140,1992,134.35%,1992-01-01 00:00:00
$45990,1993,-39.60%,1993-01-01 00:00:00
$79470,1994,72.80%,1994-01-01 00:00:00
$89190,1995,12.23%,1995-01-01 00:00:00
$200000,1996,124.24%,1996-01-01 00:00:00
$209810,1997,4.91%,1997-01-01 00:00:00
$259210,1998,23.55%,1998-01-01 00:00:00
$252940,1999,-2.42%,1999-01-01 00:00:00
$203310,2000,-19.62%,2000-01-01 00:00:00
$334820,2001,64.68%,2001-01-01 00:00:00
$401580,2002,19.94%,2002-01-01 00:00:00
$362980,2003,-9.61%,2003-01-01 00:00:00
$422340,2004,16.35%,2004-01-01 00:00:00
$461220,2005,9.21%,2005-01-01 00:00:00
$526990,2006,14.26%,2006-01-01 00:00:00
$618970,2007,17.45%,2007-01-01 00:00:00
$693540,2008,12.05%,2008-01-01 00:00:00
$670000,2009,-3.39%,2009-01-01 00:00:00
$615040,2010,-8.20%,2010-01-01 00:00:00
$517850,2011,-15.80%,2011-01-01 00:00:00
$368520,2012,-28.84%,2012-01-01 00:00:00
$370660,2013,0.58%,2013-01-01 00:00:00
$339290,2014,-8.46%,2014-01-01 00:00:00
$265760,2015,-21.67%,2015-01-01 00:00:00
$71550,2016,-73.08%,2016-01-01 00:00:00
$50,2017,-99.93%,2017-01-01 00:00:00
,2018,-100.00%,2018-01-01 00:00:00
$290,2020,,2020-01-01 00:00:00
